filename,width,height,class,xmin,ymin,xmax,ymax
Odlaw01.jpg,200,200,odlaw,123,41,144,82
Odlaw02.jpg,200,200,odlaw,48,121,70,165
Odlaw03.jpg,200,200,odlaw,68,62,88,96
Odlaw04.jpg,200,200,odlaw,82,41,124,98
Odlaw05.jpg,200,200,odlaw,84,56,107,97
Odlaw06.jpg,200,200,odlaw,78,48,112,110
Odlaw07.jpg,200,200,odlaw,56,39,84,90
Odlaw08.jpg,200,200,odlaw,103,98,126,143
Odlaw09.jpg,200,200,odlaw,77,30,105,77
Odlaw10.jpg,200,200,odlaw,80,43,121,112
Odlaw11.jpg,200,200,odlaw,84,41,117,99
Odlaw12.jpg,200,200,odlaw,80,58,105,101
Odlaw13.jpg,200,200,odlaw,68,52,98,105
Odlaw14.jpg,200,200,odlaw,72,32,111,83
Odlaw15.jpg,200,200,odlaw,75,37,113,98
Odlaw16.jpg,200,200,odlaw,69,36,102,94
Odlaw17.jpg,200,200,odlaw,81,37,110,88
Odlaw18.jpg,200,200,odlaw,82,23,115,81
Odlaw19.jpg,200,200,odlaw,67,37,108,99
Odlaw20.jpg,200,200,odlaw,71,39,112,96
Odlaw21.jpg,200,200,odlaw,97,43,135,106
Odlaw22.jpg,200,200,odlaw,63,35,100,98
Odlaw23.jpg,200,200,odlaw,84,38,119,97
Odlaw24.jpg,200,200,odlaw,87,31,113,84
Odlaw25.jpg,200,200,odlaw,86,51,122,116
Odlaw26.jpg,200,200,odlaw,84,47,110,95
Odlaw27.jpg,200,200,odlaw,88,46,119,95
Odlaw28.jpg,200,200,odlaw,74,24,114,92
Odlaw29.jpg,200,200,odlaw,75,47,111,109
Odlaw30.jpg,200,200,odlaw,81,21,113,76
Waldo01.jpg,200,200,waldo,61,40,95,113
Waldo02.jpg,200,200,waldo,76,36,100,74
Waldo03.jpg,200,200,waldo,94,36,109,74
Waldo04.jpg,200,200,waldo,88,65,109,101
Waldo05.jpg,200,200,waldo,84,36,103,76
Waldo06.jpg,200,200,waldo,74,62,101,103
